top - 16:12:02 up  1:46,  4 users,  load average: 0.31, 0.37, 0.29
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  8.3 sy,  0.0 ni, 87.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    216.2 free,   2251.5 used,   1188.5 buff/cache     
MiB Swap:   3530.0 total,   3294.3 free,    235.7 used.   1103.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    195 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    197 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    199 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    201 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    202 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    203 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    205 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    206 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    207 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    209 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    213 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    214 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    215 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    217 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    223 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    227 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    244 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    250 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    251 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    252 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    253 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    254 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    255 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    256 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    257 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    325 root      20   0       0      0      0 S   0.0   0.0   0:01.49 jbd2/sd+
    326 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    383 root      19  -1   75916  24632  23608 S   0.0   0.7   0:00.82 systemd+
    403 systemd+  20   0   18308   7436   6796 S   0.0   0.2   0:03.09 systemd+
    449 systemd+  20   0   23584  13644  10700 S   0.0   0.4   0:00.73 systemd+
    450 systemd+  20   0   91628   8092   7196 S   0.0   0.2   0:00.10 systemd+
    458 root      20   0   40852   8844   8076 S   0.0   0.3   0:00.56 systemd+
    461 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    586 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    589 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    590 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    591 root     -51   0       0      0      0 S   0.0   0.0   0:04.97 irq/16-+
    592 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    822 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1242 avahi     20   0    6796   4036   3908 S   0.0   0.1   0:00.12 avahi-d+
   1243 message+  20   0   12092   7140   4452 S   0.0   0.2   0:00.99 dbus-da+
   1247 gnome-r+  20   0  521460  11828  10292 S   0.0   0.3   0:00.02 gnome-r+
   1250 polkitd   20   0  389860  11668   8024 S   0.0   0.3   0:00.50 polkitd
   1270 root      20   0  312328   7056   6672 S   0.0   0.2   0:00.32 account+
   1273 root      20   0   10108   2840   2712 S   0.0   0.1   0:00.05 cron
