top - 16:12:02 up  1:46,  4 users,  load average: 0.31, 0.37, 0.29
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  8.3 sy,  0.0 ni, 87.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    216.2 free,   2251.5 used,   1188.5 buff/cache     
MiB Swap:   3530.0 total,   3294.3 free,    235.7 used.   1103.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  10095 dev-moo+  20   0   12296   6396   4092 S   0.0   0.2   0:00.03 bash
  10138 root      20   0   13380   5808   5052 S   0.0   0.2   0:00.04 su
  10140 dev-luke  20   0   12296   6512   4208 S   0.0   0.2   0:00.23 bash
  10210 root      20   0       0      0      0 I   0.0   0.0   0:01.66 kworker+
  10237 root      20   0       0      0      0 I   0.0   0.0   0:01.45 kworker+
  10572 dev-moo+  20   0  122896   9268   5036 S   0.0   0.3   0:02.63 speech-+
  10588 dev-moo+  20   0   28712   9212   5756 S   0.0   0.3   0:00.01 sd_espe+
  10589 dev-moo+  20   0  165504   5656   5016 S   0.0   0.2   0:00.41 sd_dummy
  10592 dev-moo+  20   0   28784   9284   5828 S   0.0   0.3   0:00.01 sd_espe+
  10669 dev-moo+  20   0 2832284 234484  98788 S   0.0   6.8   0:21.45 Isolate+
  10686 root      20   0       0      0      0 I   0.0   0.0   0:01.83 kworker+
  10705 dev-moo+  20   0 2421084  89880  75532 S   0.0   2.6   0:02.41 Isolate+
  10809 dev-moo+  20   0 2747012 302192 108052 S   0.0   8.8   1:53.97 Isolate+
  10838 dev-moo+  20   0 2407620  77024  63620 S   0.0   2.2   0:00.98 Web Con+
  10915 dev-moo+  20   0 2407616  77100  63840 S   0.0   2.2   0:00.12 Web Con+
  10938 dev-moo+  20   0 2407620  76788  63480 S   0.0   2.2   0:00.91 Web Con+
  11122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11247 root      20   0       0      0      0 I   0.0   0.0   0:00.64 kworker+
  11299 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
  11326 root      20   0       0      0      0 I   0.0   0.0   0:01.57 kworker+
  11438 root      20   0       0      0      0 I   0.0   0.0   0:00.49 kworker+
  11479 root      20   0   13344   5788   5020 S   0.0   0.2   0:00.00 su
  11480 dev-moo+  20   0   12296   6368   4064 S   0.0   0.2   0:00.03 bash
  11592 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
  11598 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
  11630 root      20   0   13380   5720   4952 S   0.0   0.2   0:00.04 su
  11632 sysadmin  20   0   12296   6436   4132 S   0.0   0.2   0:00.04 bash
  11969 root      20   0   13344   5700   5060 S   0.0   0.2   0:00.01 su
  11971 dev-moo+  20   0   12296   6404   4100 S   0.0   0.2   0:00.05 bash
  12014 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12070 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  12085 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  12195 root      20   0   13380   5716   4948 S   0.0   0.2   0:00.03 su
  12196 sysadmin  20   0   12296   6512   4208 S   0.0   0.2   0:00.02 bash
  12219 root      20   0   13384   5816   5048 S   0.0   0.2   0:00.04 su
  12228 dev-luke  20   0   12296   6368   4064 S   0.0   0.2   0:00.05 bash
  12285 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  12286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12314 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12315 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12316 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12317 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12318 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12319 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12392 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12393 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12417 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
  12433 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  12447 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
